,cluster
cell_8182,Cluster 11
cell_8183,Cluster 12
cell_8184,Cluster 11
cell_8185,Cluster 12
cell_8186,Cluster 11
cell_8187,Cluster 11
cell_8188,Cluster 11
cell_8189,Cluster 11
cell_8190,Cluster 12
cell_8191,Cluster 11
cell_8192,Cluster 11
cell_8193,Cluster 12
cell_8194,Cluster 11
cell_8195,Cluster 11
cell_8196,Cluster 11
cell_8197,Cluster 12
cell_8198,Cluster 11
cell_8199,Cluster 11
cell_8200,Cluster 11
cell_8201,Cluster 11
cell_8202,Cluster 11
cell_8203,Cluster 11
cell_8204,Cluster 12
cell_8205,Cluster 11
cell_8206,Cluster 11
cell_8207,Cluster 0
cell_8208,Cluster 0
cell_8209,Cluster 0
cell_8210,Cluster 0
cell_8211,Cluster 8
cell_8212,Cluster 8
cell_8213,Cluster 5
cell_8214,Cluster 8
cell_8215,Cluster 0
cell_8216,Cluster 2
cell_8217,Cluster 12
cell_8218,Cluster 7
cell_8219,Cluster 4
cell_8220,Cluster 0
cell_8221,Cluster 2
cell_8222,Cluster 12
cell_8223,Cluster 8
cell_8224,Cluster 9
cell_8225,Cluster 0
cell_8226,Cluster 4
cell_8227,Cluster 0
cell_8228,Cluster 8
cell_8229,Cluster 8
cell_8230,Cluster 0
cell_8231,Cluster 4
cell_8232,Cluster 12
cell_8233,Cluster 8
cell_8234,Cluster 7
cell_8235,Cluster 12
cell_8236,Cluster 12
cell_8237,Cluster 2
cell_8238,Cluster 12
cell_8239,Cluster 0
cell_8240,Cluster 8
cell_8241,Cluster 3
cell_8242,Cluster 0
cell_8243,Cluster 8
cell_8244,Cluster 12
cell_8245,Cluster 0
cell_8246,Cluster 4
cell_8247,Cluster 8
cell_8248,Cluster 5
cell_8249,Cluster 11
cell_8250,Cluster 8
cell_8251,Cluster 8
cell_8252,Cluster 0
cell_8253,Cluster 8
cell_8254,Cluster 8
cell_8255,Cluster 9
cell_8256,Cluster 0
cell_8257,Cluster 6
cell_8258,Cluster 12
cell_8259,Cluster 8
cell_8260,Cluster 12
cell_8261,Cluster 9
cell_8262,Cluster 0
cell_8263,Cluster 8
cell_8264,Cluster 11
cell_8265,Cluster 2
cell_8266,Cluster 0
cell_8267,Cluster 8
cell_8268,Cluster 8
cell_8269,Cluster 8
cell_8270,Cluster 12
cell_8271,Cluster 6
cell_8272,Cluster 12
cell_8273,Cluster 12
cell_8274,Cluster 12
cell_8275,Cluster 12
cell_8276,Cluster 4
cell_8277,Cluster 4
cell_8278,Cluster 7
cell_8279,Cluster 8
cell_8280,Cluster 4
cell_8281,Cluster 5
cell_8282,Cluster 0
cell_8283,Cluster 8
cell_8284,Cluster 0
cell_8285,Cluster 12
cell_8286,Cluster 0
cell_8287,Cluster 7
cell_8288,Cluster 0
cell_8289,Cluster 8
cell_8290,Cluster 7
cell_8291,Cluster 12
cell_8292,Cluster 4
cell_8293,Cluster 8
cell_8294,Cluster 11
cell_8295,Cluster 8
cell_8296,Cluster 7
cell_8297,Cluster 4
cell_8298,Cluster 4
cell_8299,Cluster 2
cell_8300,Cluster 12
cell_8301,Cluster 8
cell_8302,Cluster 12
cell_8303,Cluster 2
cell_8304,Cluster 12
cell_8305,Cluster 7
cell_8306,Cluster 8
cell_8307,Cluster 12
cell_8308,Cluster 0
cell_8309,Cluster 4
cell_8310,Cluster 4
cell_8311,Cluster 8
cell_8312,Cluster 0
cell_8313,Cluster 8
cell_8314,Cluster 11
cell_8315,Cluster 0
cell_8316,Cluster 11
cell_8317,Cluster 4
cell_8318,Cluster 8
cell_8319,Cluster 4
cell_8320,Cluster 0
cell_8321,Cluster 6
cell_8322,Cluster 11
cell_8323,Cluster 0
cell_8324,Cluster 8
cell_8325,Cluster 0
cell_8326,Cluster 12
cell_8327,Cluster 0
cell_8328,Cluster 0
cell_8329,Cluster 0
cell_8330,Cluster 11
cell_8331,Cluster 11
cell_8332,Cluster 12
cell_8333,Cluster 11
cell_8334,Cluster 0
cell_8335,Cluster 12
cell_8336,Cluster 0
cell_8337,Cluster 0
cell_8338,Cluster 0
cell_8339,Cluster 11
cell_8340,Cluster 0
cell_8341,Cluster 12
cell_8342,Cluster 4
cell_8343,Cluster 2
cell_8344,Cluster 0
cell_8345,Cluster 4
cell_8346,Cluster 12
cell_8347,Cluster 3
cell_8348,Cluster 0
cell_8349,Cluster 0
cell_8350,Cluster 8
cell_8351,Cluster 0
cell_8352,Cluster 4
cell_8353,Cluster 5
cell_8354,Cluster 3
cell_8355,Cluster 3
cell_8356,Cluster 8
cell_8357,Cluster 8
cell_8358,Cluster 3
cell_8359,Cluster 8
cell_8360,Cluster 8
cell_8361,Cluster 2
cell_8362,Cluster 3
cell_8363,Cluster 9
cell_8364,Cluster 3
cell_8365,Cluster 2
cell_8366,Cluster 3
cell_8367,Cluster 8
cell_8368,Cluster 3
cell_8369,Cluster 10
cell_8370,Cluster 3
cell_8371,Cluster 10
cell_8372,Cluster 1
cell_8373,Cluster 3
cell_8374,Cluster 3
cell_8375,Cluster 6
cell_8376,Cluster 0
cell_8377,Cluster 9
cell_8378,Cluster 14
cell_8379,Cluster 8
cell_8380,Cluster 14
cell_8381,Cluster 12
cell_8382,Cluster 9
cell_8383,Cluster 2
cell_8384,Cluster 8
cell_8385,Cluster 11
cell_8386,Cluster 8
cell_8387,Cluster 8
cell_8388,Cluster 2
cell_8389,Cluster 3
cell_8390,Cluster 6
cell_8391,Cluster 6
cell_8392,Cluster 3
cell_8393,Cluster 3
cell_8394,Cluster 3
cell_8395,Cluster 3
cell_8396,Cluster 3
cell_8397,Cluster 8
cell_8398,Cluster 1
cell_8399,Cluster 9
cell_8400,Cluster 3
cell_8401,Cluster 8
cell_8402,Cluster 8
cell_8403,Cluster 3
cell_8404,Cluster 3
cell_8405,Cluster 1
cell_8406,Cluster 9
cell_8407,Cluster 10
cell_8408,Cluster 3
cell_8409,Cluster 1
cell_8410,Cluster 10
cell_8411,Cluster 10
cell_8412,Cluster 6
cell_8413,Cluster 3
cell_8414,Cluster 0
cell_8415,Cluster 3
cell_8416,Cluster 1
cell_8417,Cluster 7
cell_8418,Cluster 11
cell_8419,Cluster 7
cell_8420,Cluster 7
cell_8421,Cluster 3
cell_8422,Cluster 3
cell_8423,Cluster 0
cell_8424,Cluster 0
cell_8425,Cluster 7
cell_8426,Cluster 3
cell_8427,Cluster 7
cell_8428,Cluster 7
cell_8429,Cluster 3
cell_8430,Cluster 7
cell_8431,Cluster 2
cell_8432,Cluster 0
cell_8433,Cluster 3
cell_8434,Cluster 0
cell_8435,Cluster 3
cell_8436,Cluster 9
cell_8437,Cluster 10
cell_8438,Cluster 9
cell_8439,Cluster 8
cell_8440,Cluster 10
cell_8441,Cluster 10
cell_8442,Cluster 1
cell_8443,Cluster 14
cell_8444,Cluster 10
cell_8445,Cluster 0
cell_8446,Cluster 9
cell_8447,Cluster 14
cell_8448,Cluster 1
cell_8449,Cluster 13
cell_8450,Cluster 1
cell_8451,Cluster 9
cell_8452,Cluster 1
cell_8453,Cluster 2
cell_8454,Cluster 9
cell_8455,Cluster 11
cell_8456,Cluster 9
cell_8457,Cluster 9
cell_8458,Cluster 14
cell_8459,Cluster 12
cell_8460,Cluster 9
cell_8461,Cluster 9
cell_8462,Cluster 12
cell_8463,Cluster 8
cell_8464,Cluster 3
cell_8465,Cluster 0
cell_8466,Cluster 2
cell_8467,Cluster 3
cell_8468,Cluster 9
cell_8469,Cluster 9
cell_8470,Cluster 0
cell_8471,Cluster 9
cell_8472,Cluster 6
cell_8473,Cluster 6
cell_8474,Cluster 9
cell_8475,Cluster 9
cell_8476,Cluster 3
cell_8477,Cluster 3
cell_8478,Cluster 9
cell_8479,Cluster 2
cell_8480,Cluster 9
cell_8481,Cluster 3
cell_8482,Cluster 3
cell_8483,Cluster 12
cell_8484,Cluster 8
cell_8485,Cluster 9
cell_8486,Cluster 9
cell_8487,Cluster 10
cell_8488,Cluster 1
cell_8489,Cluster 2
cell_8490,Cluster 14
cell_8491,Cluster 10
cell_8492,Cluster 10
cell_8493,Cluster 1
cell_8494,Cluster 14
cell_8495,Cluster 10
cell_8496,Cluster 14
cell_8497,Cluster 1
cell_8498,Cluster 1
cell_8499,Cluster 1
cell_8500,Cluster 14
cell_8501,Cluster 1
cell_8502,Cluster 14
cell_8503,Cluster 1
cell_8504,Cluster 14
cell_8505,Cluster 14
cell_8506,Cluster 14
cell_8507,Cluster 12
cell_8508,Cluster 14
cell_8509,Cluster 14
cell_8510,Cluster 1
cell_8511,Cluster 1
cell_8512,Cluster 14
cell_8513,Cluster 14
cell_8514,Cluster 14
cell_8515,Cluster 1
cell_8516,Cluster 1
cell_8517,Cluster 14
cell_8518,Cluster 14
cell_8519,Cluster 1
cell_8520,Cluster 14
cell_8521,Cluster 14
cell_8522,Cluster 14
cell_8523,Cluster 14
cell_8524,Cluster 14
cell_8525,Cluster 14
cell_8526,Cluster 14
cell_8527,Cluster 14
cell_8528,Cluster 14
cell_8529,Cluster 14
cell_8530,Cluster 1
cell_8531,Cluster 14
cell_8532,Cluster 10
cell_8533,Cluster 12
cell_8534,Cluster 14
cell_8535,Cluster 10
cell_8536,Cluster 14
cell_8537,Cluster 14
cell_8538,Cluster 10
cell_8539,Cluster 14
cell_8540,Cluster 14
cell_8541,Cluster 3
cell_8542,Cluster 1
cell_8543,Cluster 6
cell_8544,Cluster 7
cell_8545,Cluster 7
cell_8546,Cluster 14
cell_8547,Cluster 1
cell_8548,Cluster 10
cell_8549,Cluster 8
cell_8550,Cluster 13
cell_8551,Cluster 14
cell_8552,Cluster 13
cell_8553,Cluster 9
cell_8554,Cluster 14
cell_8555,Cluster 11
cell_8556,Cluster 11
cell_8557,Cluster 4
cell_8558,Cluster 11
cell_8559,Cluster 11
cell_8560,Cluster 11
cell_8561,Cluster 3
cell_8562,Cluster 3
cell_8563,Cluster 3
cell_8564,Cluster 11
cell_8565,Cluster 11
cell_8566,Cluster 11
cell_8567,Cluster 11
cell_8568,Cluster 5
cell_8569,Cluster 11
cell_8570,Cluster 11
cell_8571,Cluster 11
cell_8572,Cluster 12
cell_8573,Cluster 11
cell_8574,Cluster 11
cell_8575,Cluster 11
cell_8576,Cluster 11
cell_8577,Cluster 11
cell_8578,Cluster 11
cell_8579,Cluster 11
cell_8580,Cluster 11
cell_8581,Cluster 11
cell_8582,Cluster 11
cell_8583,Cluster 11
cell_8584,Cluster 11
cell_8585,Cluster 11
cell_8586,Cluster 11
cell_8587,Cluster 11
cell_8588,Cluster 11
cell_8589,Cluster 11
cell_8590,Cluster 11
cell_8591,Cluster 11
cell_8592,Cluster 11
cell_8593,Cluster 11
cell_8594,Cluster 11
cell_8595,Cluster 11
cell_8596,Cluster 12
cell_8597,Cluster 11
cell_8598,Cluster 11
cell_8599,Cluster 11
cell_8600,Cluster 11
cell_8601,Cluster 3
cell_8602,Cluster 11
cell_8603,Cluster 11
cell_8604,Cluster 11
cell_8605,Cluster 11
cell_8606,Cluster 12
cell_8607,Cluster 11
cell_8608,Cluster 11
cell_8609,Cluster 11
cell_8610,Cluster 11
cell_8611,Cluster 11
cell_8612,Cluster 11
cell_8613,Cluster 11
cell_8614,Cluster 11
cell_8615,Cluster 11
cell_8616,Cluster 11
cell_8617,Cluster 11
cell_8618,Cluster 11
cell_8619,Cluster 11
cell_8620,Cluster 11
cell_8621,Cluster 11
cell_8622,Cluster 11
cell_8623,Cluster 5
cell_8624,Cluster 11
cell_8625,Cluster 12
cell_8626,Cluster 12
cell_8627,Cluster 11
cell_8628,Cluster 11
cell_8629,Cluster 5
cell_8630,Cluster 11
cell_8631,Cluster 11
cell_8632,Cluster 11
cell_8633,Cluster 11
cell_8634,Cluster 9
cell_8635,Cluster 4
cell_8636,Cluster 0
cell_8637,Cluster 8
cell_8638,Cluster 0
cell_8639,Cluster 8
cell_8640,Cluster 0
cell_8641,Cluster 12
cell_8642,Cluster 12
cell_8643,Cluster 12
cell_8644,Cluster 3
cell_8645,Cluster 12
cell_8646,Cluster 12
cell_8647,Cluster 8
cell_8648,Cluster 12
cell_8649,Cluster 3
cell_8650,Cluster 0
cell_8651,Cluster 3
cell_8652,Cluster 0
cell_8653,Cluster 4
cell_8654,Cluster 4
cell_8655,Cluster 9
cell_8656,Cluster 12
cell_8657,Cluster 4
cell_8658,Cluster 4
cell_8659,Cluster 4
cell_8660,Cluster 6
cell_8661,Cluster 4
cell_8662,Cluster 11
cell_8663,Cluster 11
cell_8664,Cluster 3
cell_8665,Cluster 4
cell_8666,Cluster 5
cell_8667,Cluster 0
cell_8668,Cluster 12
cell_8669,Cluster 8
cell_8670,Cluster 8
cell_8671,Cluster 0
cell_8672,Cluster 0
cell_8673,Cluster 0
cell_8674,Cluster 11
cell_8675,Cluster 5
cell_8676,Cluster 11
cell_8677,Cluster 0
cell_8678,Cluster 0
cell_8679,Cluster 4
cell_8680,Cluster 12
cell_8681,Cluster 4
cell_8682,Cluster 8
cell_8683,Cluster 14
cell_8684,Cluster 0
cell_8685,Cluster 0
cell_8686,Cluster 12
cell_8687,Cluster 0
cell_8688,Cluster 0
cell_8689,Cluster 11
cell_8690,Cluster 0
cell_8691,Cluster 9
cell_8692,Cluster 2
cell_8693,Cluster 9
cell_8694,Cluster 3
cell_8695,Cluster 3
cell_8696,Cluster 4
cell_8697,Cluster 14
cell_8698,Cluster 0
cell_8699,Cluster 12
cell_8700,Cluster 3
cell_8701,Cluster 0
cell_8702,Cluster 8
cell_8703,Cluster 11
cell_8704,Cluster 3
cell_8705,Cluster 2
cell_8706,Cluster 2
cell_8707,Cluster 9
cell_8708,Cluster 4
cell_8709,Cluster 3
cell_8710,Cluster 7
cell_8711,Cluster 7
cell_8712,Cluster 4
cell_8713,Cluster 10
cell_8714,Cluster 8
cell_8715,Cluster 8
cell_8716,Cluster 6
cell_8717,Cluster 10
cell_8718,Cluster 0
cell_8719,Cluster 5
cell_8720,Cluster 3
cell_8721,Cluster 8
cell_8722,Cluster 14
cell_8723,Cluster 5
cell_8724,Cluster 8
cell_8725,Cluster 4
cell_8726,Cluster 1
cell_8727,Cluster 3
cell_8728,Cluster 3
cell_8729,Cluster 3
cell_8730,Cluster 12
cell_8731,Cluster 11
cell_8732,Cluster 0
cell_8733,Cluster 12
cell_8734,Cluster 12
cell_8735,Cluster 12
cell_8736,Cluster 8
cell_8737,Cluster 1
cell_8738,Cluster 3
cell_8739,Cluster 10
cell_8740,Cluster 3
cell_8741,Cluster 3
cell_8742,Cluster 10
cell_8743,Cluster 10
cell_8744,Cluster 2
cell_8745,Cluster 2
cell_8746,Cluster 0
cell_8747,Cluster 10
cell_8748,Cluster 10
cell_8749,Cluster 3
cell_8750,Cluster 0
cell_8751,Cluster 2
cell_8752,Cluster 0
cell_8753,Cluster 7
cell_8754,Cluster 1
cell_8755,Cluster 3
cell_8756,Cluster 3
cell_8757,Cluster 9
cell_8758,Cluster 3
cell_8759,Cluster 9
cell_8760,Cluster 10
cell_8761,Cluster 10
cell_8762,Cluster 3
cell_8763,Cluster 3
cell_8764,Cluster 3
cell_8765,Cluster 3
cell_8766,Cluster 3
cell_8767,Cluster 3
cell_8768,Cluster 3
cell_8769,Cluster 3
cell_8770,Cluster 0
cell_8771,Cluster 8
cell_8772,Cluster 7
cell_8773,Cluster 7
cell_8774,Cluster 3
cell_8775,Cluster 3
cell_8776,Cluster 3
cell_8777,Cluster 10
cell_8778,Cluster 3
cell_8779,Cluster 3
cell_8780,Cluster 9
cell_8781,Cluster 3
cell_8782,Cluster 3
cell_8783,Cluster 10
cell_8784,Cluster 3
cell_8785,Cluster 0
cell_8786,Cluster 9
cell_8787,Cluster 10
cell_8788,Cluster 3
cell_8789,Cluster 3
cell_8790,Cluster 9
cell_8791,Cluster 3
cell_8792,Cluster 7
cell_8793,Cluster 3
cell_8794,Cluster 6
cell_8795,Cluster 7
cell_8796,Cluster 7
cell_8797,Cluster 9
cell_8798,Cluster 14
cell_8799,Cluster 4
cell_8800,Cluster 7
cell_8801,Cluster 3
cell_8802,Cluster 0
cell_8803,Cluster 3
cell_8804,Cluster 9
cell_8805,Cluster 3
cell_8806,Cluster 9
cell_8807,Cluster 3
cell_8808,Cluster 3
cell_8809,Cluster 7
cell_8810,Cluster 3
cell_8811,Cluster 3
cell_8812,Cluster 3
cell_8813,Cluster 7
cell_8814,Cluster 7
cell_8815,Cluster 7
cell_8816,Cluster 14
cell_8817,Cluster 3
cell_8818,Cluster 3
cell_8819,Cluster 3
cell_8820,Cluster 3
cell_8821,Cluster 8
cell_8822,Cluster 3
cell_8823,Cluster 3
cell_8824,Cluster 3
cell_8825,Cluster 10
cell_8826,Cluster 3
cell_8827,Cluster 14
cell_8828,Cluster 10
cell_8829,Cluster 14
cell_8830,Cluster 3
cell_8831,Cluster 1
cell_8832,Cluster 0
cell_8833,Cluster 10
cell_8834,Cluster 10
cell_8835,Cluster 10
cell_8836,Cluster 9
cell_8837,Cluster 3
cell_8838,Cluster 3
cell_8839,Cluster 1
cell_8840,Cluster 1
cell_8841,Cluster 14
cell_8842,Cluster 10
cell_8843,Cluster 1
cell_8844,Cluster 10
cell_8845,Cluster 14
cell_8846,Cluster 10
cell_8847,Cluster 10
cell_8848,Cluster 10
cell_8849,Cluster 1
cell_8850,Cluster 3
cell_8851,Cluster 1
cell_8852,Cluster 1
cell_8853,Cluster 14
cell_8854,Cluster 9
cell_8855,Cluster 10
cell_8856,Cluster 10
cell_8857,Cluster 10
cell_8858,Cluster 1
cell_8859,Cluster 9
cell_8860,Cluster 9
cell_8861,Cluster 9
cell_8862,Cluster 2
cell_8863,Cluster 9
cell_8864,Cluster 9
cell_8865,Cluster 6
cell_8866,Cluster 10
cell_8867,Cluster 6
cell_8868,Cluster 9
cell_8869,Cluster 10
cell_8870,Cluster 1
cell_8871,Cluster 1
cell_8872,Cluster 2
cell_8873,Cluster 7
cell_8874,Cluster 9
cell_8875,Cluster 7
cell_8876,Cluster 7
cell_8877,Cluster 3
cell_8878,Cluster 10
cell_8879,Cluster 1
cell_8880,Cluster 10
cell_8881,Cluster 6
cell_8882,Cluster 9
cell_8883,Cluster 10
cell_8884,Cluster 10
cell_8885,Cluster 5
cell_8886,Cluster 14
cell_8887,Cluster 1
cell_8888,Cluster 9
cell_8889,Cluster 10
cell_8890,Cluster 10
cell_8891,Cluster 1
cell_8892,Cluster 10
cell_8893,Cluster 10
cell_8894,Cluster 14
cell_8895,Cluster 1
cell_8896,Cluster 14
cell_8897,Cluster 14
cell_8898,Cluster 14
cell_8899,Cluster 14
cell_8900,Cluster 9
cell_8901,Cluster 0
cell_8902,Cluster 14
cell_8903,Cluster 1
cell_8904,Cluster 10
cell_8905,Cluster 3
cell_8906,Cluster 12
cell_8907,Cluster 1
cell_8908,Cluster 10
cell_8909,Cluster 10
cell_8910,Cluster 1
cell_8911,Cluster 1
cell_8912,Cluster 4
cell_8913,Cluster 1
cell_8914,Cluster 10
cell_8915,Cluster 14
cell_8916,Cluster 1
cell_8917,Cluster 14
cell_8918,Cluster 14
cell_8919,Cluster 5
cell_8920,Cluster 5
cell_8921,Cluster 10
cell_8922,Cluster 14
cell_8923,Cluster 1
cell_8924,Cluster 1
cell_8925,Cluster 1
cell_8926,Cluster 10
cell_8927,Cluster 1
cell_8928,Cluster 9
cell_8929,Cluster 1
cell_8930,Cluster 10
cell_8931,Cluster 1
cell_8932,Cluster 10
cell_8933,Cluster 0
cell_8934,Cluster 14
cell_8935,Cluster 8
cell_8936,Cluster 10
cell_8937,Cluster 1
cell_8938,Cluster 10
cell_8939,Cluster 10
cell_8940,Cluster 10
cell_8941,Cluster 1
cell_8942,Cluster 1
cell_8943,Cluster 14
cell_8944,Cluster 9
cell_8945,Cluster 6
cell_8946,Cluster 4
cell_8947,Cluster 3
cell_8948,Cluster 14
cell_8949,Cluster 14
cell_8950,Cluster 1
cell_8951,Cluster 10
cell_8952,Cluster 1
cell_8953,Cluster 11
cell_8954,Cluster 11
cell_8955,Cluster 11
cell_8956,Cluster 12
cell_8957,Cluster 12
cell_8958,Cluster 12
cell_8959,Cluster 11
cell_8960,Cluster 12
cell_8961,Cluster 12
cell_8962,Cluster 12
cell_8963,Cluster 12
cell_8964,Cluster 11
cell_8965,Cluster 11
cell_8966,Cluster 11
cell_8967,Cluster 11
cell_8968,Cluster 11
cell_8969,Cluster 11
cell_8970,Cluster 11
cell_8971,Cluster 11
cell_8972,Cluster 11
cell_8973,Cluster 11
cell_8974,Cluster 11
cell_8975,Cluster 11
cell_8976,Cluster 4
cell_8977,Cluster 11
cell_8978,Cluster 11
cell_8979,Cluster 11
cell_8980,Cluster 11
cell_8981,Cluster 11
cell_8982,Cluster 12
cell_8983,Cluster 11
cell_8984,Cluster 11
cell_8985,Cluster 11
cell_8986,Cluster 11
cell_8987,Cluster 11
cell_8988,Cluster 11
cell_8989,Cluster 11
cell_8990,Cluster 12
cell_8991,Cluster 11
cell_8992,Cluster 11
cell_8993,Cluster 11
cell_8994,Cluster 11
cell_8995,Cluster 11
cell_8996,Cluster 11
cell_8997,Cluster 11
cell_8998,Cluster 11
cell_8999,Cluster 11
cell_9000,Cluster 11
cell_9001,Cluster 11
cell_9002,Cluster 3
cell_9003,Cluster 3
cell_9004,Cluster 11
cell_9005,Cluster 11
cell_9006,Cluster 0
cell_9007,Cluster 8
cell_9008,Cluster 1
cell_9009,Cluster 1
cell_9010,Cluster 4
cell_9011,Cluster 6
cell_9012,Cluster 11
cell_9013,Cluster 11
cell_9014,Cluster 0
cell_9015,Cluster 9
cell_9016,Cluster 2
cell_9017,Cluster 5
cell_9018,Cluster 0
cell_9019,Cluster 12
cell_9020,Cluster 0
cell_9021,Cluster 1
cell_9022,Cluster 8
cell_9023,Cluster 11
cell_9024,Cluster 11
cell_9025,Cluster 8
cell_9026,Cluster 11
cell_9027,Cluster 6
cell_9028,Cluster 0
cell_9029,Cluster 11
cell_9030,Cluster 2
cell_9031,Cluster 0
cell_9032,Cluster 11
cell_9033,Cluster 5
cell_9034,Cluster 8
cell_9035,Cluster 8
cell_9036,Cluster 4
cell_9037,Cluster 4
cell_9038,Cluster 0
cell_9039,Cluster 0
cell_9040,Cluster 5
cell_9041,Cluster 0
cell_9042,Cluster 12
cell_9043,Cluster 11
cell_9044,Cluster 4
cell_9045,Cluster 4
cell_9046,Cluster 11
cell_9047,Cluster 11
cell_9048,Cluster 5
cell_9049,Cluster 4
cell_9050,Cluster 12
cell_9051,Cluster 11
cell_9052,Cluster 11
cell_9053,Cluster 11
cell_9054,Cluster 4
cell_9055,Cluster 11
cell_9056,Cluster 4
cell_9057,Cluster 12
cell_9058,Cluster 4
cell_9059,Cluster 12
cell_9060,Cluster 12
cell_9061,Cluster 0
cell_9062,Cluster 4
cell_9063,Cluster 11
cell_9064,Cluster 11
cell_9065,Cluster 11
cell_9066,Cluster 11
cell_9067,Cluster 11
cell_9068,Cluster 12
cell_9069,Cluster 11
cell_9070,Cluster 4
cell_9071,Cluster 0
cell_9072,Cluster 0
cell_9073,Cluster 12
cell_9074,Cluster 4
cell_9075,Cluster 12
cell_9076,Cluster 4
cell_9077,Cluster 11
cell_9078,Cluster 12
cell_9079,Cluster 11
cell_9080,Cluster 12
cell_9081,Cluster 4
cell_9082,Cluster 0
cell_9083,Cluster 12
cell_9084,Cluster 11
cell_9085,Cluster 11
cell_9086,Cluster 11
cell_9087,Cluster 12
cell_9088,Cluster 4
cell_9089,Cluster 11
cell_9090,Cluster 11
cell_9091,Cluster 11
cell_9092,Cluster 11
cell_9093,Cluster 4
cell_9094,Cluster 4
cell_9095,Cluster 12
cell_9096,Cluster 11
cell_9097,Cluster 10
cell_9098,Cluster 6
cell_9099,Cluster 2
cell_9100,Cluster 3
cell_9101,Cluster 3
cell_9102,Cluster 3
cell_9103,Cluster 8
cell_9104,Cluster 8
cell_9105,Cluster 3
cell_9106,Cluster 8
cell_9107,Cluster 8
cell_9108,Cluster 3
cell_9109,Cluster 8
cell_9110,Cluster 0
cell_9111,Cluster 0
cell_9112,Cluster 0
cell_9113,Cluster 8
cell_9114,Cluster 8
cell_9115,Cluster 2
cell_9116,Cluster 3
cell_9117,Cluster 8
cell_9118,Cluster 5
cell_9119,Cluster 8
cell_9120,Cluster 3
cell_9121,Cluster 0
cell_9122,Cluster 3
cell_9123,Cluster 8
cell_9124,Cluster 4
cell_9125,Cluster 8
cell_9126,Cluster 9
cell_9127,Cluster 0
cell_9128,Cluster 3
cell_9129,Cluster 8
cell_9130,Cluster 3
cell_9131,Cluster 3
cell_9132,Cluster 3
cell_9133,Cluster 3
cell_9134,Cluster 8
cell_9135,Cluster 2
cell_9136,Cluster 8
cell_9137,Cluster 2
cell_9138,Cluster 2
cell_9139,Cluster 9
cell_9140,Cluster 8
cell_9141,Cluster 9
cell_9142,Cluster 6
cell_9143,Cluster 4
cell_9144,Cluster 8
cell_9145,Cluster 0
cell_9146,Cluster 8
cell_9147,Cluster 7
cell_9148,Cluster 14
cell_9149,Cluster 0
cell_9150,Cluster 12
cell_9151,Cluster 6
cell_9152,Cluster 5
cell_9153,Cluster 12
cell_9154,Cluster 8
cell_9155,Cluster 12
cell_9156,Cluster 12
cell_9157,Cluster 6
cell_9158,Cluster 3
cell_9159,Cluster 0
cell_9160,Cluster 4
cell_9161,Cluster 8
cell_9162,Cluster 8
cell_9163,Cluster 8
cell_9164,Cluster 4
cell_9165,Cluster 6
cell_9166,Cluster 12
cell_9167,Cluster 6
cell_9168,Cluster 8
cell_9169,Cluster 8
cell_9170,Cluster 8
cell_9171,Cluster 8
cell_9172,Cluster 8
cell_9173,Cluster 8
cell_9174,Cluster 0
cell_9175,Cluster 8
cell_9176,Cluster 4
cell_9177,Cluster 6
cell_9178,Cluster 12
cell_9179,Cluster 12
cell_9180,Cluster 0
cell_9181,Cluster 8
cell_9182,Cluster 12
cell_9183,Cluster 0
cell_9184,Cluster 1
cell_9185,Cluster 12
cell_9186,Cluster 0
cell_9187,Cluster 8
cell_9188,Cluster 12
cell_9189,Cluster 12
cell_9190,Cluster 5
cell_9191,Cluster 3
cell_9192,Cluster 0
cell_9193,Cluster 0
cell_9194,Cluster 2
cell_9195,Cluster 12
cell_9196,Cluster 0
cell_9197,Cluster 12
cell_9198,Cluster 0
cell_9199,Cluster 5
cell_9200,Cluster 4
cell_9201,Cluster 0
cell_9202,Cluster 12
cell_9203,Cluster 5
cell_9204,Cluster 8
cell_9205,Cluster 12
cell_9206,Cluster 12
cell_9207,Cluster 0
cell_9208,Cluster 8
cell_9209,Cluster 8
cell_9210,Cluster 0
cell_9211,Cluster 8
cell_9212,Cluster 8
cell_9213,Cluster 0
cell_9214,Cluster 0
cell_9215,Cluster 5
cell_9216,Cluster 12
cell_9217,Cluster 0
cell_9218,Cluster 8
cell_9219,Cluster 8
cell_9220,Cluster 0
cell_9221,Cluster 8
cell_9222,Cluster 0
cell_9223,Cluster 0
cell_9224,Cluster 12
cell_9225,Cluster 4
cell_9226,Cluster 0
cell_9227,Cluster 8
cell_9228,Cluster 4
cell_9229,Cluster 8
cell_9230,Cluster 5
cell_9231,Cluster 8
cell_9232,Cluster 12
cell_9233,Cluster 12
cell_9234,Cluster 8
cell_9235,Cluster 0
cell_9236,Cluster 0
cell_9237,Cluster 8
cell_9238,Cluster 0
cell_9239,Cluster 8
cell_9240,Cluster 8
cell_9241,Cluster 0
cell_9242,Cluster 4
cell_9243,Cluster 8
cell_9244,Cluster 12
cell_9245,Cluster 4
cell_9246,Cluster 0
cell_9247,Cluster 12
cell_9248,Cluster 0
cell_9249,Cluster 0
cell_9250,Cluster 8
cell_9251,Cluster 0
cell_9252,Cluster 12
cell_9253,Cluster 1
cell_9254,Cluster 14
cell_9255,Cluster 14
cell_9256,Cluster 10
cell_9257,Cluster 9
